
2023/04/27 (20:13:24) | ===> btop++ v.1.2.13
2023/04/27 (20:13:24) | ERROR: Stall in Runner thread, restarting!
2023/04/27 (20:13:50) | ERROR: Stall in Runner thread, restarting!
2023/04/27 (20:14:09) | ERROR: Stall in Runner thread, restarting!
2023/04/28 (01:33:26) | ERROR: Stall in Runner thread, restarting!
2023/04/28 (01:33:50) | ERROR: Stall in Runner thread, restarting!
2023/04/28 (01:33:56) | ERROR: Stall in Runner thread, restarting!
2023/04/28 (01:34:14) | ERROR: Stall in Runner thread, restarting!
2023/04/28 (01:34:51) | ERROR: Stall in Runner thread, restarting!
2023/04/28 (01:50:36) | ERROR: Stall in Runner thread, restarting!
2023/04/28 (01:56:36) | ERROR: Stall in Runner thread, restarting!
2023/04/28 (01:57:02) | ERROR: Stall in Runner thread, restarting!
2023/04/28 (01:57:26) | ERROR: Stall in Runner thread, restarting!
2023/04/28 (01:57:33) | ERROR: Stall in Runner thread, restarting!
2023/04/28 (01:58:49) | ERROR: Stall in Runner thread, restarting!
2023/04/28 (01:59:23) | ERROR: Stall in Runner thread, restarting!
2023/04/28 (01:59:44) | ERROR: Stall in Runner thread, restarting!
2023/04/28 (02:00:00) | ERROR: Stall in Runner thread, restarting!
2023/04/28 (02:00:21) | ERROR: Stall in Runner thread, restarting!
2023/04/28 (02:00:32) | ERROR: Stall in Runner thread, restarting!
2023/04/28 (02:01:05) | ERROR: Stall in Runner thread, restarting!
2023/04/28 (02:05:34) | ERROR: Stall in Runner thread, restarting!
2023/04/28 (02:06:58) | ERROR: Stall in Runner thread, restarting!
2023/04/28 (02:07:11) | ERROR: Stall in Runner thread, restarting!
2023/04/28 (02:13:37) | ERROR: Stall in Runner thread, restarting!
2023/04/28 (02:17:05) | ERROR: Stall in Runner thread, restarting!
2023/04/28 (02:21:53) | ERROR: Stall in Runner thread, restarting!
2023/04/28 (02:29:04) | ERROR: Stall in Runner thread, restarting!
2023/04/28 (02:29:30) | ERROR: Stall in Runner thread, restarting!
2023/04/28 (02:30:02) | ERROR: Stall in Runner thread, restarting!
2023/04/28 (02:30:30) | ERROR: Stall in Runner thread, restarting!
2023/04/28 (02:30:53) | ERROR: Stall in Runner thread, restarting!
2023/04/28 (02:31:15) | ERROR: Stall in Runner thread, restarting!
2023/04/28 (02:32:50) | ERROR: Stall in Runner thread, restarting!
2023/04/28 (02:34:31) | ERROR: Stall in Runner thread, restarting!
2023/04/28 (02:35:06) | ERROR: Stall in Runner thread, restarting!

2023/04/28 (08:25:21) | ===> btop++ v.1.2.13
2023/04/28 (08:25:22) | ERROR: Stall in Runner thread, restarting!

2023/04/28 (09:26:12) | ===> btop++ v.1.2.13
2023/04/28 (09:26:12) | ERROR: Stall in Runner thread, restarting!
2023/04/28 (09:26:22) | ERROR: Stall in Runner thread, restarting!
2023/04/28 (11:55:35) | ERROR: Stall in Runner thread, restarting!
2023/04/28 (11:55:59) | ERROR: Stall in Runner thread, restarting!
2023/04/28 (11:56:20) | ERROR: Stall in Runner thread, restarting!
2023/04/28 (11:56:37) | ERROR: Stall in Runner thread, restarting!
2023/04/28 (11:56:46) | ERROR: Stall in Runner thread, restarting!
2023/04/28 (11:57:04) | ERROR: Stall in Runner thread, restarting!
2023/04/28 (11:57:28) | ERROR: Stall in Runner thread, restarting!
2023/04/28 (12:01:29) | ERROR: Stall in Runner thread, restarting!
2023/04/28 (12:02:05) | ERROR: Stall in Runner thread, restarting!
2023/04/28 (12:03:14) | ERROR: Stall in Runner thread, restarting!
2023/04/28 (12:03:30) | ERROR: Stall in Runner thread, restarting!
2023/04/28 (12:03:55) | ERROR: Stall in Runner thread, restarting!
2023/04/28 (12:04:21) | ERROR: Stall in Runner thread, restarting!
2023/04/28 (12:04:27) | ERROR: Stall in Runner thread, restarting!
2023/04/28 (12:04:35) | ERROR: Stall in Runner thread, restarting!

2025/01/07 (21:40:21) | ===> btop++ v.1.4.0
2025/01/07 (21:40:21) | ERROR: Stall in Runner thread, restarting!

2025/03/05 (11:33:15) | ===> btop++ v.1.4.0
2025/03/05 (11:33:15) | ERROR: Stall in Runner thread, restarting!
2025/03/05 (11:51:05) | WARNING: Failed to join _runner thread on exit!
